全局序号,章节,文件,修改编号,修改前内容,修改后内容
36,导言,part0.preface/0.6.introduction.md,004,大多数英国人的脑子还在关注同性婚姻和跨性别权利,大多数英国人还在努力理解同性婚姻和跨性别权利
37,导言,part0.preface/0.6.introduction.md,005,当特朗普总统在其任期的最后一段时间里，展现出一个狂犬病发作中男人的贵族尊严时[^3]。薇薇安·魏尔姆斯…结婚了,特朗普总统以狂犬病发作般的贵族尊严捱过任期的最后时光[^3]。就在此时，薇薇安·魏尔姆斯…结婚了
38,导言,part0.preface/0.6.introduction.md,006,冠状病毒大流行正在把情况搞得越来越糟,冠状病毒大流行正在将情况推向新的低谷
39,导言,part0.preface/0.6.introduction.md,007,利益共同体,兴趣社群
40,导言,part0.preface/0.6.introduction.md,008,越来越深入和复杂地报道CNM,越来越深入和专业地报道CNM
41,导言,part0.preface/0.6.introduction.md,009,能让人们学到什么,能让其他人学到什么
42,导言,part0.preface/0.6.introduction.md,010,值得我们带着判断力和同理心去探讨,值得我们以理性和同理心去探讨
43,导言,part0.preface/0.6.introduction.md,011,由于CNM并不被文化所接受，也没有一个……操作方案,由于CNM没有一个能被外部的文化环境所认可、同时被群体内部普遍推崇的操作方案
44,导言,part0.preface/0.6.introduction.md,012,受到公认的非单偶制的做法,各种各样彼此约定而成的非单偶制的做法
45,导言,part0.preface/0.6.introduction.md,013,有些单偶的伴侣可能希望探索一些别的做法，或者希望加深自己既有的单偶关系，我也想为他们,为正在探索非单偶选项的人，以及希望加深既有单偶关系的人，我也想为他们
46,导言,part0.preface/0.6.introduction.md,014,找到与自己有相似之处的人,找到与自己的身份背景相仿的人
47,导言,part0.preface/0.6.introduction.md,015,很多都是一个接一个出现的,很多都会以相当一致的方式反复出现
48,导言,part0.preface/0.6.introduction.md,016,现行的模式只歌颂二人关系中的终身忠贞和永续浪漫，而自从我们接受了这种模式,只要我们一直被灌输这种只歌颂二人关系中终身忠贞和永续浪漫的模式
49,导言,part0.preface/0.6.introduction.md,017,重新打造,打造
50,导言,part0.preface/0.6.introduction.md,018,而不是压制这些念头,而不是压制它们
51,导言,part0.preface/0.6.introduction.md,019,这样的理念在很多地方都成为了现实（而且经常都是同时），用来,所有这些都被用来（而且经常都是同时）
52,导言,part0.preface/0.6.introduction.md,020,当你在生活中需要解决本书提到的各个主题时,当你逐一思考本书中的各个主题时
53,导言,part0.preface/0.6.introduction.md,021,照亮你的道路，    愿你的罐子里,照亮你的道路，愿你的罐子里
54,导言,part0.preface/0.6.introduction.md,022,很大程度上，我们在可以互换使用,很大程度上，我们可以互换使用
55,导言,part0.preface/0.6.introduction.md,023,一个人是否同意另一个人,一个人是否赞同另一个人
56,导言,part0.preface/0.6.introduction.md,024,能有去做这种生活方式的自由——最好是热情地，或者至少有意识地表示同意,是自愿地——最好是热情地——参与其中的，或者至少有意识地表示同意
57,导言,part0.preface/0.6.introduction.md,025,但坦率地说，他们是英国人,但坦率地说，他和地道的英国人没什么两样
58,导言,part0.preface/0.6.introduction.md,026,无法适应顺直（cis-het）的规范,无法适应顺直规范的狭隘框框
59,导言,part0.preface/0.6.introduction.md,027,"这些内容会可以在本书最后的""人物小传""部分查到","这些内容可以在本书最后的""人物小传""部分查到"
60,导言,part0.preface/0.6.introduction.md,028,男同性恋和其他CNM情景的相互作用,男同性恋与其他CNM社群的互动
61,导言,part0.preface/0.6.introduction.md,029,我们大多数人是有犯过错误的,我们大多数人都犯过错误
62,导言,part0.preface/0.6.introduction.md,030,**单偶的人确实可以从非单偶的人那儿如何处理他们的关系中学到很多东西**,单偶的人确实可以从非单偶的人那儿如何处理他们的关系中学到很多东西
63,导言,part0.preface/0.6.introduction.md,031,**必须在必要时及时沟通和协商，并更加谨慎和用心地管理自己的时间和情绪**,必须在必要时及时沟通和协商，并更加谨慎和用心地管理自己的时间和情绪
64,导言,part0.preface/0.6.introduction.md,032,"**不存在""唯一的正确道路""**","不存在""唯一的正确道路"""
65,导言,part0.preface/0.6.introduction.md,033,**广泛地去爱**,广泛地去爱
66,导言,part0.preface/0.6.introduction.md,034,**CNM不是万能药**,CNM不是万能药
67,导言,part0.preface/0.6.introduction.md,035,**己所欲者，施之于人**,己所欲者，施之于人
68,导言,part0.preface/0.6.introduction.md,036,**人所欲者，施之于人**,人所欲者，施之于人
69,导言,part0.preface/0.6.introduction.md,037,**对彼此做到最好**,对彼此做到最好
70,导言,part0.preface/0.6.introduction.md,038,**别当混蛋**,别当混蛋
71,导言,part0.preface/0.6.introduction.md,039,**爱是努力去以一种慷慨而仁慈、并富有同情心的方式满足自己和周围人的需求**,爱是努力去以一种慷慨而仁慈、并富有同情心的方式满足自己和周围人的需求
72,导言,part0.preface/0.6.introduction.md,040,"**""同意""不仅仅是一个观点问题**","""同意""不仅仅是一个观点问题"
73,第1章：什么是合意非单偶制？,part1/1.01.md,001,准备订婚事宜,约定交往条件
74,第1章：什么是合意非单偶制？,part1/1.01.md,002,无关竟要,无关紧要
75,第1章：什么是合意非单偶制？,part1/1.01.md,003,而是**存在于彼此的假设之中**,而是存在于彼此的假设之中
76,第1章：什么是合意非单偶制？,part1/1.01.md,004,在  MMORPG游戏中,在MMORPG游戏中
77,第1章：什么是合意非单偶制？,part1/1.01.md,005,早在我们在真正了解成人的情感关系之前,早在我们真正了解成人的情感关系之前
78,第1章：什么是合意非单偶制？,part1/1.01.md,006,既然我们都知道（或者以为自己知道）什么是单偶制。,我们都知道（或者以为自己知道）什么是单偶制。
79,第1章：什么是合意非单偶制？,part1/1.01.md,007,一个更朴素（austere）的定义,一个更苦行僧的（austere）定义
80,第1章：什么是合意非单偶制？,part1/1.01.md,008,某人与另一人保持浪漫和（或）性关系,某人只与另一人保持浪漫和（或）性关系
81,第1章：什么是合意非单偶制？,part1/1.01.md,009,他们是否曾经有过或考虑过发生外遇,他们是否曾经有过或*考虑*过发生外遇
82,第1章：什么是合意非单偶制？,part1/1.01.md,010,但结果却各不相同,但结果却大相径庭
83,第1章：什么是合意非单偶制？,part1/1.01.md,011,对于一些人来说，出轨就是在他们关系之外暗中进行的身体亲密,对于一些人来说，*出轨*就是在他们关系之外暗中进行的身体亲密
84,第1章：什么是合意非单偶制？,part1/1.01.md,012,那些因为害怕失去现有的关系，不得不容忍伴侣在外约会其他人,那些被胁迫不敢离开关系，只能容忍伴侣在外约会其他人
85,第1章：什么是合意非单偶制？,part1/1.01.md,013,这些虐待很容易滑落到犯罪的边缘,这些虐待很容易达到犯罪的程度
86,第2章：为事物命名,part1/1.02.md,001,（Morning Glory[^2]Zell-Ravenheart）,（Morning Glory[^2] Zell-Ravenheart）
87,第2章：为事物命名,part1/1.02.md,002,在自己的社区中可能只是少数,在各自的周遭也许形单影只
88,第2章：为事物命名,part1/1.02.md,003,很少有人敢于脱离主流。而如果有人真的敢于冒犯主流，他们往往也是好色之徒，撩拨人们的性欲，或者单纯就是喜欢进行道德说教。,很少有媒体敢于脱离主流。而如果有人真的敢于冒犯主流，他们往往流于好色、煽情或说教。
89,第2章：为事物命名,part1/1.02.md,004,女人，为了其他女人，撰写和出版杂志,女性为其他女性撰写和出版杂志
90,第2章：为事物命名,part1/1.02.md,005,去除术语列表中全部斜体格式（性别酷儿、性别流动等）,与原文保持一致，无斜体
91,第2章：为事物命名,part1/1.02.md,006,***（两处场景分隔符）,删除
92,第2章：为事物命名,part1/1.02.md,007,"ta们发现……对ta们……能对应、 ""算是事""","他们发现……对他们……能对应、""算是事"""
93,第2章：为事物命名,part1/1.02.md,008,从小就在充满了疑问的,从小充满了疑问的
94,第2章：为事物命名,part1/1.02.md,009,《The One[^11]》里面的那种迪士尼式的理念,"迪士尼那种""唯一真爱""（*The One*）的理念（相应删除脚注[^11]）"
95,第2章：为事物命名,part1/1.02.md,010,如果ta已经死了五十年了怎么办，如果他们住在印度,如果那个人已经死了五十年了怎么办，如果那个人住在印度
96,第2章：为事物命名,part1/1.02.md,011,我们就把成人世界当作一面镜子来获得自己的情感和体验,成年人就像镜子一样把我们感受到和体验到的事情反射给我们
97,第2章：为事物命名,part1/1.02.md,012,如果我们发现自己属于某种少数群体,如果我们发现自己形单影只、孤立无援
98,第2章：为事物命名,part1/1.02.md,013,九年级十年级的时候,九年级或十年级的时候
99,第2章：为事物命名,part1/1.02.md,014,我的当时的女朋友,我当时的女朋友
100,第2章：为事物命名,part1/1.02.md,015,同乐,同喜
101,第2章：为事物命名,part1/1.02.md,016,（*new* *relationship* *energy*）,（*new relationship energy*）
102,第2章：为事物命名,part1/1.02.md,017,非单偶制的各种样式/……样式/这些样式,非单偶制的各种做法/……做法/这些做法
103,第2章：为事物命名,part1/1.02.md,018,"""不问、不说""","""不问不说"""
104,第2章：为事物命名,part1/1.02.md,019,伴侣关系男性,伴侣关系的男性
105,第2章：为事物命名,part1/1.02.md,020,但也也很重要,但也很重要
106,第2章：为事物命名,part1/1.02.md,021,三口之家（triad）、四口之家（quad）,**三口之家（triad）**、**四口之家（quad）**
107,第2章：为事物命名,part1/1.02.md,022,道德的非单偶制、合意非单偶制,**道德的非单偶制**、**合意非单偶制**
108,第2章：为事物命名,part1/1.02.md,023,Politics and the English Language,*Politics and the English Language*
109,第2章：为事物命名,part1/1.02.md,024,喜欢一个人和ta的性别无关（脚注[^5]）,喜欢一个人和其性别无关
110,第2章：为事物命名,part1/1.02.md,025,脚注[^12]–[^18],删除脚注[^11]后重排为[^11]–[^17]
111,第2章：为事物命名,part1/1.02.md,026,非单偶制的各种**做法**,非单偶制的各种**样式**
112,第2章：为事物命名,part1/1.02.md,027,合意非单偶制的**做法**大致分为三类,合意非单偶制的**样式**大致分为三类
113,第2章：为事物命名,part1/1.02.md,028,所有**形式**的合意非单偶制的统称,所有**样式**的合意非单偶制的统称
114,第3章：同意,part1/1.03.md,001,或者劝降和操控的行为，那么这些问题并不会在上床之前,或者反复劝说和操控的行为，那么这些问题并不会在上床的时候
115,第3章：同意,part1/1.03.md,002,因为**实际上**人们常常并不会使用,因为实际上人们常常并不会使用
116,第3章：同意,part1/1.03.md,003,鉴于**同意**问题的核心地位,鉴于同意问题的核心地位
117,第3章：同意,part1/1.03.md,004,就是*给予许可*,就是给予许可
118,第3章：同意,part1/1.03.md,005,使用了 ***FRIES*** 这个缩写,"使用了""FRIES""这个缩写"
119,第3章：同意,part1/1.03.md,006,订立这一条的理由多到不胜数。,这种情况可能由各种各样的原因造成。
120,第3章：同意,part1/1.03.md,007,那么你做的研究可能还没本书做的多,那你恐怕需要在本书之外多做点功课
121,第3章：同意,part1/1.03.md,008,而你正要开干了？,而你正干到一半？
122,第3章：同意,part1/1.03.md,009,事情是， 同意,事情是，同意
123,第3章：同意,part1/1.03.md,010,定期相互联系，并且把事情一直放在心上,定期深入交流想法（check in），并且把事情一直放在心上
124,第3章：同意,part1/1.03.md,011,"播客经常谈到 ""第三类握手""","播客经常谈到""第三类握手"""
125,第3章：同意,part1/1.03.md,012,朋友/约会对象,朋友/约炮对象
126,第3章：同意,part1/1.03.md,013,广受尊敬的另癖（kink）和性爱教育者,广受尊敬的小众性癖和性爱教育者
127,第3章：同意,part1/1.03.md,014,阐述如何谈判,阐述如何协商一场玩法
128,第3章：同意,part1/1.03.md,015,"> ""你刚才穿的是什么？""","> ""到那时候你穿什么？"""
129,第3章：同意,part1/1.03.md,016,在英国，皇家检察署规定,在英国，皇家检察署（CPS 是英格兰和威尔士的国家检控机构）规定
130,第3章：同意,part1/1.03.md,017,哦，我挺喜欢的~,哦，我挺喜欢的！
131,第3章：同意,part1/1.03.md,018,第三次握手方法,第三类握手方法
132,第3章：同意,part1/1.03.md,019,"最后，""FRIE"" ""的S代表""**具体**""","最后，""FRIES""的S代表""**具体**"""
133,第3章：同意,part1/1.03.md,020,想和**你**做爱,想和*你*做爱
134,第3章：同意,part1/1.03.md,021,在小众癖好方面,在小众性癖的语境中
135,第3章：同意,part1/1.03.md,022,"显然，""明确的同意""理应适用于","显然，""同意""理应适用于"
136,第3章：同意,part1/1.03.md,023,"关于""恋爱关系中，在不让伴侣感到不适的前提下，对伴侣能做哪些事""的谈判","关于""关系中各方对伴侣做哪些事感到自在""的协商"
137,第3章：同意,part1/1.03.md,024,那么涉及三个或更多人的关系就会更加复杂,那么涉及三个或更多人的关系就会成倍地更加复杂
138,第3章：同意,part1/1.03.md,025,有关性爱和小众癖好的章节,有关性爱和小众性癖的章节
139,第4章：通往合意非单偶制之路,part1/1.04.md,001,你很可能已经不是,你说不定已经不是
140,第4章：通往合意非单偶制之路,part1/1.04.md,002,帮助您决定哪种形式适合您,帮助你决定哪种形式适合你
141,第4章：通往合意非单偶制之路,part1/1.04.md,003,我们所接受,喂到我们嘴边来
142,第4章：通往合意非单偶制之路,part1/1.04.md,004,单偶制终身专一关系,一男一女之间终身专一的单偶关系
143,第4章：通往合意非单偶制之路,part1/1.04.md,005,非单偶制有多种形式,合意非单偶制有多种形式
144,第4章：通往合意非单偶制之路,part1/1.04.md,006,视为一种正确的社会行为,视为一种社会公益
145,第4章：通往合意非单偶制之路,part1/1.04.md,007,其附属品,其外部装饰
146,第4章：通往合意非单偶制之路,part1/1.04.md,008,而他们在某些地方的表现则决定了教会认为这种结合是正常的还是不正常的,正是这种结合在特定地点的举行方式，决定了教会视其为合规还是不合规
147,第4章：通往合意非单偶制之路,part1/1.04.md,009,即使带着本土的观点视角也是如此,即使带着本土的视角也是如此
148,第4章：通往合意非单偶制之路,part1/1.04.md,010,这让所有未能品尝恋爱之苦的人感到生疏,这几乎让所有没在热恋中的人都被排挤了
149,第4章：通往合意非单偶制之路,part1/1.04.md,011,他们远离家务劳动和经济烦恼,他们的镜头远离家务劳动和经济烦恼
150,第4章：通往合意非单偶制之路,part1/1.04.md,012,**有且只有**,有且只有
151,第4章：通往合意非单偶制之路,part1/1.04.md,013,情况发展得怎么样呢？,那效果怎么样呢？
152,第4章：通往合意非单偶制之路,part1/1.04.md,014,降至1995年的28.3万多人，再降至2009年的23.2万多人,降至1995年的28.3万人，再降至2009年的23.2万人
153,第4章：通往合意非单偶制之路,part1/1.04.md,015,要么或者是,要么是
154,第4章：通往合意非单偶制之路,part1/1.04.md,016,样本中不忠的女性比例小于大多数被调查男性,一小部分女性的不忠频率高于大多数受调查男性
155,第4章：通往合意非单偶制之路,part1/1.04.md,017,偏离单偶制和常规生活的情况,偏离单偶制和常规性爱的情况
156,第4章：通往合意非单偶制之路,part1/1.04.md,018,其中的12%参加过换妻派对,其中的12%参加过换偶派对
157,第4章：通往合意非单偶制之路,part1/1.04.md,019,20多岁的女性,快三十岁的女性
158,第4章：通往合意非单偶制之路,part1/1.04.md,020,美国积极从事合意非单偶关系的人数,美国*积极*从事合意非单偶关系的人数
159,第4章：通往合意非单偶制之路,part1/1.04.md,021,自然界中，交配和关系的行为,自然界中，交配和关系的*行为*
160,第4章：通往合意非单偶制之路,part1/1.04.md,022,而同性恋者则明显更有可能这样做,而酷儿则明显更有可能这样做
161,第4章：通往合意非单偶制之路,part1/1.04.md,023,少数群体和不太富裕群体还是出现得还是太少了,少数群体和不太富裕群体出现得还是太少了
162,第4章：通往合意非单偶制之路,part1/1.04.md,024,诉诸上帝或者天性,诉诸上帝和天性
163,第4章：通往合意非单偶制之路,part1/1.04.md,025,"是一种""适当 ""或""自然""的状态","是一种""适当""或""自然""的状态"
164,第4章：通往合意非单偶制之路,part1/1.04.md,026,"我们所谓的""另癖（kink）""","我们所谓的""小众性癖（kink）"""
165,第4章：通往合意非单偶制之路,part1/1.04.md,027,"""雌性生殖器官可以自己繁殖""","""雌性可以自行繁殖"""
166,第4章：通往合意非单偶制之路,part1/1.04.md,028,所有这些生物都可以与其他生物繁殖,而这七种性别两两之间都能繁殖
167,第4章：通往合意非单偶制之路,part1/1.04.md,029,"""活在罪恶之众""","""活在罪恶之中"""
168,第4章：通往合意非单偶制之路,part1/1.04.md,030,并由性行为,并有性行为
169,第5章：为什么是合意非单偶制？,part1/1.05.md,001,毫无疑问,压倒性的
170,第5章：为什么是合意非单偶制？,part1/1.05.md,002,主要原因（55%）,主要（55%）的原因是：
171,第5章：为什么是合意非单偶制？,part1/1.05.md,003,能够在更多的人那里满足自己的多种需求，从而也满足那些人的需求,可以去找更多人满足自己的多种需求，从而让自己的需求尽可能得到满足
172,第5章：为什么是合意非单偶制？,part1/1.05.md,004,把责任分享出去,找人共担责任
173,第5章：为什么是合意非单偶制？,part1/1.05.md,005,把我的需求和我伴侣的需求分开解决,把满足我和我伴侣需求的担子分散出去
174,第5章：为什么是合意非单偶制？,part1/1.05.md,006,当伴侣A不喜欢的自己的爱好时,当伴侣A不喜欢自己的某个爱好时
175,第5章：为什么是合意非单偶制？,part1/1.05.md,007,毕竟，如果一个人热衷于排舞[^2]，也许另一个热爱爵士的人可以给ta的舞步提供一些新的灵感。,毕竟，如果有一位男/女朋友热衷于排舞[^2]，而另一位热爱爵士乐，那么这位也许可以给其舞步提供一些新的灵感。
176,第5章：为什么是合意非单偶制？,part1/1.05.md,008,发明了专门的属于,发明了专门的术语
177,第5章：为什么是合意非单偶制？,part1/1.05.md,009,还有以及,以及
178,第5章：为什么是合意非单偶制？,part1/1.05.md,010,宾亚明（两处）,宾雅明
179,第5章：为什么是合意非单偶制？,part1/1.05.md,011,如果事态没有发展到明显越界的程度，我们就可以讨论和协商,如果某些事并非天然就是禁区，我们就可以讨论和协商
180,第5章：为什么是合意非单偶制？,part1/1.05.md,012,给ta的舞步,给其舞步
181,第5章：为什么是合意非单偶制？,part1/1.05.md,013,我对ta的关注,我对其的关注
182,第5章：为什么是合意非单偶制？,part1/1.05.md,014,会拥抱那些参与到他们关系中来、与性爱无关的活动,会接纳其关系中那些与性爱无关的活动
183,第5章：为什么是合意非单偶制？,part1/1.05.md,015,而我们被默认应当都读过这些规则,而我们被期待视之为当然地接受和采纳
184,第5章：为什么是合意非单偶制？,part1/1.05.md,016,确保父亲的生父身份,确保男性是子女的生身父亲
185,第5章：为什么是合意非单偶制？,part1/1.05.md,017,首先，让你觉得写下情感关系很好的五件事,首先，写下你在情感关系中喜欢的五件事
186,第5章：为什么是合意非单偶制？,part1/1.05.md,018,……忍受我的废话,……忍受我的臭毛病
187,第5章：为什么是合意非单偶制？,part1/1.05.md,019,## 一个快速实验,### 一个快速实验
188,第5章：为什么是合意非单偶制？,part1/1.05.md,020,对托斯卡纳乡村充满热情，担心无家可归,对托斯卡纳乡村充满热情，关心流浪汉问题
189,第5章：为什么是合意非单偶制？,part1/1.05.md,021,减少了欺骗的需要。……在非单偶关系中，欺骗仍然是可能的,减少了出轨的需要。……在非单偶关系中，出轨仍然是可能的
190,第5章：为什么是合意非单偶制？,part1/1.05.md,022,在情感交流更丰富和性爱接触更亲密的层面上,在情感交流更丰富*以及*性爱接触更亲密的层面上
191,第5章：为什么是合意非单偶制？,part1/1.05.md,023,"与""信任""和""满足自己多样化的需求""有关",与**信任**和**满足自己多样化的需求**有关
192,第5章：为什么是合意非单偶制？,part1/1.05.md,024,这是一个在不同场合都会出现的主题,这是一个会在全书不同地方反复出现的主题
193,第5章：为什么是合意非单偶制？,part1/1.05.md,025,接吻并不会增加生鱼片的美味,接吻并不会增加吃生鱼片的享受
194,第5章：为什么是合意非单偶制？,part1/1.05.md,026,这种益处对于从事CNM的人来说尤为突出，因为他们可能不会经历二人关系特有的那种退出期,这种益处对于实践CNM的人来说尤为突出，因为他们可能不会经历二人关系特有的那种社交退缩
195,第5章：为什么是合意非单偶制？,part1/1.05.md,027,或一整套系统化的偏见,或一整套系统化、制度化的偏见
196,第5章：为什么是合意非单偶制？,part1/1.05.md,028,重新制定单偶制的规则,重写单偶制的规则
197,第5章：为什么是合意非单偶制？,part1/1.05.md,029,……让我能感觉自己没那么糟,……让我对自己感觉更好
198,第5章：为什么是合意非单偶制？,part1/1.05.md,030,有人可以一起生娃,有人可以一起生儿育女
199,第5章：为什么是合意非单偶制？,part1/1.05.md,031,有人可以抱抱,有人可以依偎拥抱
200,第5章：为什么是合意非单偶制？,part1/1.05.md,032,我不想花太多时间来列举人类能做出多少糟心事,我不想花太多时间来列举人能做出多少糟心事
201,第5章：为什么是合意非单偶制？,part1/1.05.md,033,新的选项可能比传统选择更适合一些人,新的选项可能更适合一些人
202,第5章：为什么是合意非单偶制？,part1/1.05.md,034,自己关系**做法**的五种好处,自己关系**样式**的五种好处
203,第6章：作为性取向的合意非单偶关系,part1/1.06.md,001,ta们意识到自己终于找到了自己,这些人意识到自己终于找到了自己
204,第6章：作为性取向的合意非单偶关系,part1/1.06.md,002,喜欢上了一个我身边的一个,喜欢上了我身边的一个
205,第6章：作为性取向的合意非单偶关系,part1/1.06.md,003,之后我一直都是名义上的单偶者,之后我一直断断续续都是名义上的单偶者
206,第6章：作为性取向的合意非单偶关系,part1/1.06.md,004,至少据他们自称,至少从个人感受来看
207,第6章：作为性取向的合意非单偶关系,part1/1.06.md,005,"对""单偶人可能是天生的""这个想法","对""非单偶可能是天生的""这个想法"
208,第6章：作为性取向的合意非单偶关系,part1/1.06.md,006,他们的经历当然有站得住脚,他们的经历当然站得住脚
209,第6章：作为性取向的合意非单偶关系,part1/1.06.md,007,比作一种倾向,比作一种取向
210,第6章：作为性取向的合意非单偶关系,part1/1.06.md,008,或者认为非单偶的人将在地狱中被焚烧的人,或者认为非单偶的人将在地狱中被焚烧
211,第6章：作为性取向的合意非单偶关系,part1/1.06.md,009,是什么导致人们选择合意非单偶制呢？,是什么让有些人更属意合意非单偶制呢？
212,第6章：作为性取向的合意非单偶关系,part1/1.06.md,010,因为作为一种选择,因为如果它是一种选择
213,第6章：作为性取向的合意非单偶关系,part1/1.06.md,011,出现了一个假定的,就可以假想出
214,第6章：作为性取向的合意非单偶关系,part1/1.06.md,012,（可以对其做出评判）,（可以在其中做出评判——译注）
215,第6章：作为性取向的合意非单偶关系,part1/1.06.md,013,不爱听事实,不易被事实说服
216,第6章：作为性取向的合意非单偶关系,part1/1.06.md,014,自己不接受单偶的倾向是与生俱来的,自己非单偶的倾向是与生俱来的
217,第6章：作为性取向的合意非单偶关系,part1/1.06.md,015,这大概是关于我喜欢上了我身边的一个……实际上是同时喜欢两个，我对这事最早的记忆,这大概是我对于自己……自己这个倾向的最早记忆了，同时喜欢两个人
218,第6章：作为性取向的合意非单偶关系,part1/1.06.md,016,在保持怀疑但是又不过度怀疑的人之中,对此保持合理怀疑态度的人之中
219,第6章：作为性取向的合意非单偶关系,part1/1.06.md,017,性肯定（sex positive）,性积极（sex positive）
220,第7章：自主决定探索CNM,part1/1.07.md,001,只是觉得这样更合理,只是凭着推理走到了那一步
221,第7章：自主决定探索CNM,part1/1.07.md,002,我不认为多边关系是一种身份,我不认为 poly 是一种身份
222,第7章：自主决定探索CNM,part1/1.07.md,003,拥有重叠的多段浪漫关系,拥有多段浪漫关系
223,第7章：自主决定探索CNM,part1/1.07.md,004,英国同性恋艺术家,英国酷儿艺术家
224,第7章：自主决定探索CNM,part1/1.07.md,005,（桑迪引文无引用块格式）妈妈跟我说她是多么为他感到高兴啊,> 妈妈跟我说她是多么为他感到高兴啊
225,第7章：自主决定探索CNM,part1/1.07.md,006,这似乎是自然而然的事情,这似乎是自然而然、显而易见的事
226,第7章：自主决定探索CNM,part1/1.07.md,007,多元恋,多边恋
227,第7章：自主决定探索CNM,part1/1.07.md,008,尽管在她在,尽管她在
228,第7章：自主决定探索CNM,part1/1.07.md,009,（尤妮斯引文续段无引用块格式）在英国，多边关系社群,> 在英国，多边关系社群
